Ray Liotta,tt0091983,tt0314123,tt0272207,tt0099685
Christopher Lloyd,tt0106220,tt0088930,tt0088763,tt0096438
Emily Lloyd,tt0105265,tt0097109,tt0310952,tt0094331
Amy Locane,tt0103491,tt0274812,tt0105327,tt0099329
Nia Long,tt0197182,tt0208003,tt2083355,tt0168501
Julia Louis-Dreyfus,tt0098904,tt0462128,tt1759761,tt2390361
Rob Lowe,tt0086066,tt0090060,tt0105793,tt0118884
Carey Lowell,tt0097742,tt0098844,tt0113627,tt0108160
Bela Lugosi,tt0045826,tt0024894,tt0024188,tt0021814
Andie MacDowell,tt0102070,tt0109831,tt0107048,tt0098724
Shirley MacLaine,tt0053604,tt0098384,tt0086425,tt0048750
William H. Macy,tt0116282,tt0118749,tt0175880,tt1586680
Michael Madsen,tt0114508,tt3460252,tt0105236,tt0266697
Virginia Madsen,tt0114194,tt0103919,tt0375063,tt0087182
Lee Majors,tt0081859,tt0071054,tt0058791,tt0096061
John Malkovich,tt0120601,tt0107206,tt1245526,tt0094947
Sophie Marceau,tt0143145,tt0112573,tt0082100,tt1194616
Vanessa Marcil,tt0117500,tt0364828,tt0056758,tt0098749
Julianna Margulies,tt0417148,tt0288477,tt0108757,tt1174730
Mary Stuart Masterson,tt0094006,tt0101921,tt0106387,tt0073747
Heather Matarazzo,tt0332375,tt0247638,tt0114906,tt0498353
Samantha Mathis,tt0144084,tt0108255,tt0115759,tt0100436
Walter Matthau,tt0072251,tt0060424,tt0063374,tt0069865
Mathilda May,tt0102130,tt0092797,tt0089489,tt0119395
Debi Mazar,tt0387199,tt0106375,tt0112950,tt1674771
